,title,pages,publisher,category 1,category 2,category 3,is bestseller
952,Laura Ingalls Is Ruining My Life,284 pages,"Roaring Brook Press (October 10, 2017)Ê",in Children's Explore United States Fiction,in Children's Parent Books,in Children's Books on the U.S.,0
953,"The Forgetting Spell (Wishing Day, 2)",368 pages,"Katherine Tegen Books; Reprint edition (March 6, 2018)Ê",in Children's Multigenerational Family Life,in Children's Books on Girls' & Women's Issues,in Children's Fantasy & Magic Books,0
954,"Masterminds: Payback (Masterminds, 3)",320 pages,"Balzer + Bray; Reprint edition (May 1, 2018)Ê","in Children's Mystery, Detective, & Spy",in Children's Science & Nature Books,in Children's Action & Adventure Books (Books),0
955,Lucky Broken Girl,272 pages,"Nancy Paulsen Books; Reprint edition (April 10, 2018)Ê",in Children's Books on Diseases & Physical Illness,in Children's Hispanic & Latino Books,in Children's Books on Emotions & Feelings (Books),0
956,The Unicorn in the Barn,304 pages,"Clarion Books; Illustrated edition (July 4, 2017)Ê",in Children's Spine-Chilling Horror,"in Children's Dragon, Unicorn & Mythical Stories",in Children's Friendship Books,0
957,Jasper and the Riddle of Riley's Mine,336 pages,"G.P. Putnam's Sons Books for Young Readers (June 28, 2022)Ê",in Children's 1800s American Historical Fiction,in Children's Siblings Books (Books),in Children's Action & Adventure Books (Books),0
958,This Is Just a Test,256 pages,"Scholastic Inc.; Reprint edition (March 26, 2019)Ê",in Children's 1900s American Historical Fiction,in Children's Friendship Books,in Children's Family Life Books (Books),0
959,Lost Boys,288 pages,"Square Fish; Reprint edition (August 21, 2018)Ê",in Children's Middle East Books,in Children's Military Fiction (Books),,0
960,The Jolly Regina (The Unintentional Adventures of the Bland Sisters Book 1),184 pages,"Amulet Paperbacks; Reprint edition (January 9, 2018)Ê",in Children's Siblings Books (Books),in Children's Humor,in Children's Action & Adventure Books (Books),0
961,"Counting Sheep: Calpurnia Tate, Girl Vet (Calpurnia Tate, Girl Vet, 2)",128 pages,"Square Fish; Reprint edition (October 3, 2017)Ê",in Children's 1900s American Historical Fiction,in Children's Siblings Books (Books),in Children's Chapter Books (Books),0
962,Best. Night. Ever.: A Story Told from Seven Points of View (mix),352 pages,"Aladdin; Reprint edition (August 14, 2018)Ê",in Children's Performing Arts Fiction,in Children's School Issues,in Children's Friendship Books,0
963,The Doll's Eye,209 pages,"Roaring Brook Press (February 28, 2017)Ê",in Children's Blended Families Books,in Children's Stories About Toys,"in Children's eBooks on Death, Grief & Bereavement",0
964,One Amazing Elephant,272 pages,"HarperCollins (February 14, 2017)Ê",in Children's Elephant Books (Books),in Children's Books on Death & Dying,in Children's Performing Arts Books (Books),0
965,Speed of Life,352 pages,"Sourcebooks Young Readers; Reprint edition (August 7, 2018)Ê",in Teen & Young Adult Stepfamily Fiction,in Teen & Young Adult Fiction about Death & Dying,in Teen & Young Adult Fiction on Girls' & Women's Issues (Books),0
966,The Star Thief,408 pages,"Little, Brown Books for Young Readers (April 11, 2017)Ê",in Children's Steampunk Books,in Children's Greek & Roman Myths,in Children's Greek & Roman Books,0
967,You Throw Like a Girl (mix),272 pages,"Aladdin (February 14, 2017)Ê",in Children's Baseball Books (Books),in Children's New Experiences Books,in Children's Books on Girls' & Women's Issues,0
968,Georgia Rules,272 pages,"HarperCollins (May 2, 2017)Ê",in Children's Books on Death & Dying,in Children's Parents Books,in Children's Friendship Books,0
969,Goldeline,253 pages,"HarperCollins; Reprint edition (November 14, 2017)Ê","in Children's Paranormal, Occult & Supernatural Books",in Children's Scary Stories,in Children's Fantasy & Magic Adventure,0
970,Crushing It (mix),240 pages,"Aladdin (January 10, 2017)Ê",in Children's Siblings Books (Books),in Children's Humor,in Children's Friendship Books,0
971,Dragon's Green (1) (Worldquake),400 pages,"Simon & Schuster Books for Young Readers; Reprint edition (May 29, 2018)Ê",in Children,s Books about Libraries & Reading,in Children's Friendship Books,0
972,The Bone Snatcher,349 pages,"Dial Books (February 14, 2017)Ê",in Children's Steampunk Books,in Children's Scary Stories,in Children's Sword & Sorcery Fantasy Books,0
973,"Star Scouts (Star Scouts, 1)",192 pages,"First Second (March 21, 2017)Ê",in Children's Science Fiction Comics & Graphic Novels,in Children's Action & Adventure Comics & Graphic Novels,in Children's Science Fiction Books (Books),0
974,Blooming at the Texas Sunrise Motel,336 pages,"Henry Holt and Co. (BYR) (March 28, 2017)Ê",in Children's Books on Orphans & Foster Homes,in Children's Values Books,in Children's Friendship Books,0
975,Call Me Sunflower,256 pages,"Sky Pony; Reprint edition (January 2, 2019)Ê",in Children's Books on Girls' & Women's Issues,in Children's Books on Emotions & Feelings (Books),in Children's Friendship Books,0
976,The Epic Fail of Arturo Zamora,272 pages,"Puffin Books; Reprint edition (April 3, 2018)Ê",in Children's Hispanic & Latino Books,in Children's Multigenerational Family Life,in Children's Books on Emotions & Feelings (Books),0
977,From Ant to Eagle,257 pages,"Central Avenue Publishing (April 1, 2017)Ê","in Children's eBooks on Death, Grief & Bereavement","in Teen & Young Adult Fiction about Death', 'in Teen & Young Adult Fiction about Siblings']",,0
978,The Kindness Club: Chloe on the Bright Side,224 pages,"Bloomsbury USA Childrens; Reprint edition (November 7, 2017)Ê",in Children's Values Books,in Children's School Issues,in Children's Friendship Books,0
979,When My Sister Started Kissing,208 pages,"Farrar, Straus and Giroux (BYR) (March 14, 2017)Ê",in Children's New Family Experiences Books,in Children's Siblings Books (Kindle Store),in Children's New Experiences Books,0
980,Doubloon Cove: The Secret of the Ancient Visitors,201 pages,"Hypothesis Press; 1st edition (July 10, 2017)Ê",in Children's Mystery & Detective Adventure,"in Children's Mystery, Detective, & Spy",in Children's Action & Adventure Books (Books),0
981,Genevieve's War,240 pages,"Holiday House; Reprint edition (January 15, 2019)Ê",in Children's Military Fiction (Books),in Children's European Historical Fiction (Books),in Children's Action & Adventure Books (Books),0
982,Pick the Plot (4) (Story Thieves),400 pages,"Aladdin; Reprint edition (March 20, 2018)Ê",in Children's Friendship Books,in Children's Fantasy & Magic Books,in Children's Action & Adventure Books (Books),0
983,The Griffin's Feather (Dragon Rider #2),432 pages,"Chicken House; Reprint edition (September 3, 2019)Ê","in Children's Dragon, Unicorn & Mythical Stories",in Children's Fantasy & Magic Books,in Children's Action & Adventure Books (Books),0
984,Moto and Me: My Year as a Wildcat's Foster Mom,40 pages,"Owlkids (April 11, 2017)Ê",in Children's Africa Books,"in Children's Lion, Tiger & Leopard Books (Books)",in Children's Environment Books (Books),0
985,"Omega City: The Forbidden Fortress (Omega City, 2)",304 pages,"Balzer + Bray (February 14, 2017)Ê",in Children's Science Fiction Books (Books),in Children's Friendship Books,in Children's Action & Adventure Books (Books),0
986,Black Cats and Butlers: Book 1 (Rose Raventhorpe Investigates),272 pages,"Little, Brown Books for Young Readers (March 9, 2017)Ê",in Children's European Historical Fiction (Books),"in Children's Mystery, Detective, & Spy",in Humorous Fiction'],0
987,Penelope March Is Melting,320 pages,"Delacorte Books for Young Readers (November 14, 2017)Ê",in Children's Environment Books (Books),in Children's Fantasy & Magic Books,in Children's Action & Adventure Books (Books),0
988,Three Pennies,208 pages,"Atheneum Books for Young Readers; Reprint edition (May 29, 2018)Ê",in Children's Books on Orphans & Foster Homes,in Children's Bird Books (Books),in Children's Fantasy & Magic Books,0
989,"The Tapper Twins Go Viral (The Tapper Twins, 4)",256 pages,"Little, Brown; Reprint edition (March 6, 2018)Ê",in Children's City Life Books,in Children's Books on Bullying,in Children's Siblings Books (Books),0
990,"Swing it, Sunny: A Graphic Novel (Sunny #2) (2)",224 pages,"Graphix; Illustrated edition (September 12, 2017)Ê",in Children's Multigenerational Family Life,in Children's Comics & Graphic Novels (Books),in Children's Friendship Books,0
991,Cats Undercover (Tuck & Ginger),322 pages,"deGrevilo; 1st edition (January 24, 2017)Ê",in Children's Intermediate Readers,in Children's Farm Animal Books (Books),in Children's Cat Books (Books),0
992,My Brigadista Year,208 pages,"Candlewick; Reprint edition (October 8, 2019)Ê",in Children's Books on Girls' & Women's Issues,in Children's Self-Esteem Books,in Children's Biographies (Books),0
993,Amelia Fang and the Barbaric Ball,224 pages,"Delacorte Press (July 30, 2019)Ê","in Children's Dragon, Unicorn & Mythical Stories",in Children's Spine-Chilling Horror,in Children's Action & Adventure Books (Books),0
994,The Wolf Hour,320 pages,"Arthur A. Levine Books (September 26, 2017)Ê",in Children's Fox & Wolf Books (Books),in Children's Folk Tales & Myths (Books),in Children's Fantasy & Magic Books,0
995,The Secret Sheriff of Sixth Grade,208 pages,"Scholastic Inc.; Reprint edition (February 26, 2019)Ê",in Children's Books on Bullying,in Children's Self-Esteem Books,in Children's Friendship Books,0
996,The Mesmerist,288 pages,"Clarion Books; Reprint edition (February 19, 2019)Ê",in Children's European Historical Fiction (Books),in Children's Spine-Chilling Horror,in Children's Fantasy & Magic Books,0
997,Blueberry Pancakes Forever: Finding Serendipity Book Three (Tuesday McGillycuddy Adventures),320 pages,"Square Fish; Reprint edition (February 6, 2018)Ê",in Children,s Books about Libraries & Reading,in Children's Fantasy & Magic Books,0
998,Suspect Red,304 pages,"Little, Brown Books for Young Readers; Reprint edition (September 18, 2018)Ê",in Children's 1900s American Historical Fiction,in Children's Friendship Books,,0
999,"Click'd (Click'd, 1)",320 pages,"Little, Brown Books for Young Readers; Reprint edition (January 8, 2019)Ê",in Children's Computers & Technology Books,in Children's School Issues,in Children's Friendship Books,0
1000,The Wizard's Dog,288 pages,"Crown Books for Young Readers; Illustrated edition (January 17, 2017)Ê",in Children's Arthurian Folk Tales & Myths,in Children's Dog Books (Books),in Children's Fantasy & Magic Books,0
1001,"Well, That Was Awkward",336 pages,"Puffin Books; Reprint edition (February 27, 2018)Ê",in Self-Help & Psychology Humor,in Children's Multigenerational Family Life,in Children's Friendship Books,0
1002,"Love, Ish",288 pages,"Algonquin Young Readers; Reprint edition (February 13, 2018)Ê",in Children's Books on Diseases & Physical Illness,in Children's Books on Death & Dying,in Children's Friendship Books,0
1003,You May Already Be a Winner,352 pages,"Dial Books (July 11, 2017)Ê",in Children's Homelessness & Poverty Books (Books),in Children's Self-Esteem Books,in Children's Family Life Books (Books),0
1004,Finding Mighty,336 pages,"Amulet Paperbacks; Reprint edition (March 5, 2019)Ê",in Children's Art Fiction,in Children's City Life Books,"in Children's Mystery, Detective, & Spy",0
1005,"The Year of the Garden (An Anna Wang novel, 5)",128 pages,"Clarion Books; Illustrated edition (April 24, 2018)Ê",in Children's Recycling & Green Living Books,in Children's Environment Books (Books),in Children's Friendship Books,0
1006,Otherwise Known as Possum,240 pages,"Scholastic Press (February 28, 2017)Ê",in Children's Books on Adoption,in Children's 1900s American Historical Fiction,in Children's Parents Books,0
1007,"How to Outsmart a Billion Robot Bees (The Genius Factor, 2)",320 pages,"Bloomsbury USA Childrens (March 7, 2017)Ê",in Children's Humor,in Children's Science & Nature Books,in Children's Action & Adventure Books (Books),0
1008,The Last Panther,256 pages,"Yearling (July 23, 2019)Ê",in Children's Self-Esteem Books,in Children's Nature Books (Books),in Children's Animals Books,0
1009,"The Unexpected Life of Oliver Cromwell Pitts: Being an Absolutely Accurate Autobiographical Account of My Follies, Fortune, and Fate",336 pages,"Algonquin Young Readers; Reprint edition (December 17, 2018)Ê",in Children's Siblings Books (Books),"in Children's Mystery, Detective, & Spy",in Children's Action & Adventure Books (Books),0
1010,Izzy Kline Has Butterflies,168 pages,"Random House Books for Young Readers (March 7, 2017)Ê",in Children's eBooks on Girls' & Women's Issues,"in Stories in Verse',",in Children's Books on Friendship,0
1011,Walking with Miss Millie,240 pages,"Nancy Paulsen Books; Reprint edition (July 3, 2018)Ê",in Children's Books on Marriage & Divorce,in Children's Country Life Books,in Children's Multigenerational Family Life,0
1012,"Knife's Edge: A Graphic Novel (Four Points, Book 2) (Four Points, 2)",224 pages,"Square Fish; Illustrated edition (May 1, 2018)Ê",in Children's Action & Adventure Comics & Graphic Novels,in Children's Historical Fiction (Books),in Children's Action & Adventure Books (Books),0
1013,Macy McMillan and the Rainbow Goddess,240 pages,"Pajama Press (May 15, 2017)Ê",in Children's Books on Disabilities,"in Stories in Verse',",in Children's Friendship Books,0
1014,Way to Bea,368 pages,"Little, Brown; Reprint edition (September 18, 2018)Ê",in Children's Books on Disabilities,in Children's Parents Books,in Children's Friendship Books,0
1015,Stormy Seas: Stories of Young Boat Refugees,64 pages,"Annick Press; Illustrated edition (April 11, 2017)Ê",in Children's Books on Immigration (Books),,,0
1016,Fish Girl,192 pages,"Clarion Books; Illustrated edition (March 7, 2017)Ê",in Fantasy Manga (Books),in Children's Friendship Books,in Children's Fantasy & Magic Books,0
1017,"Girl with a Camera: Margaret Bourke-White, Photographer: A Novel",352 pages,"Calkins Creek; Illustrated edition (April 4, 2017)Ê",in Children's United States Biographies (Books),in Children's Art Fiction,in Children's Books on Girls' & Women's Issues,0
1018,Saturdays with Hitchcock,269 pages,"Charlesbridge (October 10, 2017)Ê",in Children's Multigenerational Families,in Children's Multigenerational Family Life,in Children's Books on Friendship,0
1019,One Mixed-Up Night,208 pages,"Random House Books for Young Readers (September 5, 2017)Ê",in Children's Books on Death & Dying,in Children's Friendship Books,in Children's Family Life Books (Books),0
1020,The Door Before (100 Cupboards Prequel) (The 100 Cupboards),256 pages,"Yearling; Reissue edition (June 12, 2018)Ê",in Children's Folk Tales & Myths (Books),in Children's Fantasy & Magic Books,in Children's Action & Adventure Books (Books),0
1021,Sydney Mackenzie Knocks 'Em Dead,256 pages,"Aladdin; Reprint edition (March 6, 2018)Ê",in Children's New Experiences Books,"in Children's Mystery, Detective, & Spy",in Children's Fantasy & Magic Books,0
1022,Just Dance,128 pages,"Margaret K. McElderry Books; Reprint edition (September 25, 2018)Ê",in Children's Farm Life Books,in Children's Performing Arts Fiction,in Children's Family Life Books (Books),0
1023,Wormwood Mire,224 pages,"Atheneum Books for Young Readers; Reprint edition (July 25, 2017)Ê",in Children's Orphans & Foster Homes Books,in Children's Mystery & Detective Adventure,in Children's Fantasy & Magic Adventure,0
1024,One Good Thing about America,158 pages,"Holiday House (March 21, 2017)Ê",in Children's New Family Experiences Books,in Children's Issues in School Books,in Children's Fiction on Social Situations,0
1025,Bad Kitty Takes the Test (paperback black-and-white edition),160 pages,"Square Fish; Reprint edition (January 2, 2018)Ê",in Children's Cat Books (Books),in Children's Humorous Comics & Graphic Novels,in Children's Humor,0
1026,The Road Home (8) (Marguerite Henry's Ponies of Chincoteague),192 pages,"Aladdin (April 11, 2017)Ê",in Children's Horse Books (Books),in Children's Books on Girls' & Women's Issues,in Children's Friendship Books,0
1027,Race to the Bottom of the Sea,432 pages,"Candlewick; Reprint edition (April 22, 2019)Ê",in Children's Books on Death & Dying,in Children's Marine Life Books,in Children's Action & Adventure Books (Books),0
1028,Things That Surprise You,288 pages,"Balzer + Bray (August 22, 2017)Ê",in Children's Books on Diseases & Physical Illness,in Children's New Experiences Books,in Children's Siblings Books (Books),0
1029,The Notations of Cooper Cameron,324 pages,"Carolrhoda Books Â® (October 1, 2017)Ê",in Children's eBooks on Disability,"in Children's eBooks on Death, Grief & Bereavement",in Children's Multigenerational Families,0
1030,"Sisters of Glass (Sisters of Glass, 1)",400 pages,"HarperCollins; Reprint edition (November 6, 2018)Ê",in Children's Self-Esteem Books,in Children's Fantasy & Magic Books,in Children's Action & Adventure Books (Books),0
1031,Threads of Blue,224 pages,"Wendy Lamb Books (September 12, 2017)Ê",in Children's Military Fiction (Books),in Children's Science & Nature Books,in Children's Family Life Books (Books),0
1032,Mrs. Smith's Spy School for Girls (1),320 pages,"Aladdin; Reprint edition (June 5, 2018)Ê",in Children's Books on Girls' & Women's Issues,"in Children's Mystery, Detective, & Spy",in Children's Action & Adventure Books (Books),0
1033,How to Stage a Catastrophe (Middle-grade Novels),256 pages,"Capstone Young Readers; Illustrated edition (April 1, 2017)Ê",in Children's Performing Arts Fiction,in Children's Friendship Books,in Children's Humor,0
1034,Stealing Our Way Home,309 pages,"Scholastic Press (June 27, 2017)Ê","in Children's eBooks on Death, Grief & Bereavement",in Children's Books on Death & Dying,in Children's Mystery & Detectives Books,0
1035,Mae and June and the Wonder Wheel,128 pages,"Clarion Books; Reprint edition (June 12, 2018)Ê",in Children's Pet Books (Books),in Children's Chapter Books (Books),in Children's Friendship Books,0
1036,Ruby and Olivia,248 pages,"G.P. Putnam's Sons Books for Young Readers; Reprint edition (October 24, 2017)Ê",in Children's Scary Stories,in Children's Books on Friendship,in Children's Humorous Literature,0
1037,Under the Bottle Bridge,352 pages,"Simon & Schuster Books for Young Readers; Reprint edition (September 25, 2018)Ê",in Children's Country Life Books,in Children's New Experiences Books,in Children's Books on Emotions & Feelings (Books),0
1038,Forest World,224 pages,"Atheneum Books for Young Readers; Reprint edition (August 28, 2018)Ê",in Children's Central & South America Books,in Children's Environment Books (Books),in Children's Siblings Books (Books),0
1039,The End of the Wild,288 pages,"Little, Brown Books for Young Readers; Reprint edition (June 26, 2018)Ê",in Children's Environment Books (Books),in Children's Dog Books (Books),in Children's Self-Esteem Books,0
1040,Cody and the Rules of Life,176 pages,"Candlewick; Reprint edition (June 12, 2018)Ê",in Children's Values Books,in Children's School Issues,in Children's Friendship Books,0
1041,"Cilla Lee-Jenkins: Future Author Extraordinaire (Cilla Lee-Jenkins, 1)",272 pages,"Square Fish; Illustrated edition (March 27, 2018)Ê",in Children's Asian & Asian American Books,"in Censorship & Politics',",in Children's Books on Girls' & Women's Issues,0
1042,The Magnificent Glass Globe,276 pages,"Month9Books, LLC (April 4, 2017)Ê",in Children's Latin America Fiction,in Children's Central & South America Books,in Children's Nature Books (Kindle Store),0
1043,How Oscar Indigo Broke the Universe (And Put It Back Together Again),256 pages,"HarperCollins (November 7, 2017)Ê",in Children's Time Travel Fiction,in Children's Baseball Books (Books),in Children's Friendship Books,0
1044,The Grass Is Always Greener (Ashley Small and Ashlee Tall),66 pages,"Picture Window Books; Illustrated edition (February 1, 2017)Ê",in Children's Siblings Books (Kindle Store),in Children's Imagination & Play Fiction,in Children's Issues in School Books,0
1045,Paper Chains,304 pages,"HarperCollins; Illustrated edition (October 17, 2017)Ê",in Children's Books on Marriage & Divorce,"in Children's Mystery, Detective, & Spy",in Children's Friendship Books,0
1046,Chasing Augustus,336 pages,"Yearling; Reprint edition (September 17, 2019)Ê",in Children's Books on Orphans & Foster Homes,in Children's Books on Girls' & Women's Issues,"in Children's Mystery, Detective, & Spy",0
1047,Orphan Train Girl,240 pages,"HarperCollins; Young Readers' ed. edition (May 1, 2018)Ê",in Children's Books on Orphans & Foster Homes,in Children's Books on Girls' & Women's Issues,in Children's Friendship Books,0
1048,The Theory of Hummingbirds,160 pages,"Pajama Press (April 28, 2020)Ê",in Children's Track & Field Books,in Children's Books on Disabilities,in Children's School Issues,0
1049,Better Off Undead,288 pages,"Feiwel & Friends (October 31, 2017)Ê",in Children's Environment Books (Books),"in Children's Mystery, Detective, & Spy",in Children's Humor,0
1050,"The Real McCoys (The Real McCoys, 1)",352 pages,"Square Fish; Reprint edition (November 6, 2018)Ê",in Children's Siblings Books (Books),"in Children's Mystery, Detective, & Spy",in Children's Humor,0
1051,The Alarming Career of Sir Richard Blackstone,202 pages,"Sky Pony (February 7, 2017)Ê",in Children's European Historical Fiction (Kindle Store),in Children's Historical Action & Adventure,in Children's European Historical Fiction (Books),0
1052,Emily and the Spellstone,288 pages,"Clarion Books (June 13, 2017)Ê",in Children's Friendship Books,in Children's Humor,in Children's Fantasy & Magic Books,0
1053,The 12 Dares of Christa,302 pages,"Katherine Tegen Books (September 26, 2017)Ê",in Children's Europe & Russia Fiction,in Children's Marriage & Divorce Books,in General England Travel Guides'],0
1054,City of Grit and Gold,164 pages,"Allium Press of Chicago (April 25, 2017)Ê",in Children's 1800s American Historical Fiction,,,0
1055,I Am the Jungle: A Yoga Adventure,32 pages,"Sounds True; Illustrated edition (August 11, 2020)Ê",in Children's Books on Health,in Children's Activity Books (Books),in Children's Animals Books,0
1056,The Quest to the Uncharted Lands (World of Solace Series),352 pages,"Delacorte Press; First Edition (June 13, 2017)Ê",in Children's Friendship Books,in Children's Fantasy & Magic Books,in Children's Action & Adventure Books (Books),0
1057,The Crystal of Atum. Aki and the Spheres of Time,126 pages,"Youcanprint Self-Publishing (June 14, 2017)Ê",in Children's Books (Books),in Literature & Fiction (Books)'],,0
1058,Storm (The Huntress Trilogy),403 pages,"Farshore (May 31, 2018)Ê",in Children's Pirate Action & Adventure,in Children's Siblings Books (Kindle Store),in Children's Detectives Books,0
1059,The Peacock Door (The Peacock Door Tales Book 1),342 pages,"CandleLight Writers Inc; 2nd edition (February 27, 2023)Ê",in Children's Siblings Books (Kindle Store),in Children's Christian Books (Kindle Store),in Children's Siblings Books (Books),0
1060,"Mona Lisa's Ghost: (Mom's Choice Gold Award Recipient) (The Lucy Nightingale Adventures, Book 2)",216 pages,"Wilwahren Press; 1st edition (October 5, 2017)Ê",in Children's Time Travel Books,in Children's Time Travel Fiction,,0
1061,Emelina Grace: and Lady Igraine,140 pages,"Wilwahren Press; 1st edition (October 5, 2017)Ê",in Children's Time Travel Books,in Children's Time Travel Fiction,in Children's Sword & Sorcery Fantasy Books,0
1062,A Cardboard Palace,130 pages,"MidnightSun Publishing (June 19, 2017)Ê",in Children's Action & Adventure Literature,in Children's Literature (Kindle Store),in Children's Action & Adventure Books (Books),0
1063,Winterhorn (Tokens Of Benevolence Book 1),373 pages,"MidnightSun Publishing (June 19, 2017)Ê",in Teen & Young Adult Sci-Fi Action & Adventure eBooks,in Teen & Young Adult Sword & Sorcery Fantasy eBooks,in Teen & Young Adult Sword & Sorcery Fantasy,0
1064,Jesse Sings: Surviving Tough Times A Coming of Age Page-turner (Searching for Family Book 1),256 pages,"MidnightSun Publishing (June 19, 2017)Ê",in Contemporary Christian Fiction (Kindle Store),in Children's Books on Boys' & Men's Issues,in Coming of Age Fiction (Kindle Store)'],0
1065,"The Lion, the Witch, and the Wardrobe",224 pages,"HarperCollins (March 5, 2002)Ê",in General Broadcasting (Books),in Children's Classics,in Children's Fantasy & Magic Books,0
1066,The Sweetest Sound,288 pages,"Little, Brown Books for Young Readers; Reprint edition (January 2, 2018)Ê",in Children's Black & African American Story Books,in Children's Self-Esteem Books,in Children's Friendship Books,0
1067,Sidetracked,256 pages,"Amulet Paperbacks; Reprint edition (September 11, 2018)Ê",in Children's Books on Bullying,in Children's Books on Disabilities,in Children's Friendship Books,0
1068,The Impossible Pitcher: Book 2 (2) (Weirdo Academy),300 pages,"Month9Books, LLC; None edition (November 7, 2017)Ê",in Children's Baseball Books (Books),in Children's Fantasy & Magic Books,,0
1069,The Snow Angel,198 pages,"Zephyr; 1st edition (October 5, 2017)Ê",in Children's Family Life Books (Kindle Store),in Children's Action & Adventure Literature,in Children's Action & Adventure Books (Books),0
1070,Rowan Oakwing: Night of the Fox: Book 2,208 pages,"Little, Brown Books for Young Readers (June 1, 2017)Ê",in Children's Christian Family Fiction,in Children's Fox & Wolf Books (Books),in Children's Classics,0
1071,"Bug Girl (Bug Girl, 1)",304 pages,"Square Fish; Reprint edition (May 29, 2018)Ê",in Children's Superhero Fiction,in Children's Bug & Spider Books (Books),in Children's Friendship Books,0
1072,The Terrible Two Go Wild,240 pages,"Harry N. Abrams; Reprint edition (December 11, 2018)Ê",in Children's Books on Bullying,in Children's Chapter Books (Books),in Children's Friendship Books,0
1073,The Princess in Black and the Mysterious Playdate,96 pages,"Candlewick; Reprint edition (May 8, 2018)Ê",in Children's Royalty Books (Books),in Children's Superhero Fiction,in Children's Books on Girls' & Women's Issues,0
1074,Vintage Champagne: 1899 - 2019,558 pages,"WineAlpha (August 26, 2020)Ê","in French Cooking, Food & Wine",in Wine (Books),,0
1075,Night of the Living Cuddle Bunnies: Devin Dexter #1 (1) (Devin and Dexter),256 pages,"Sky Pony (August 29, 2017)Ê",in Children's Rabbit Books (Books),in Children's Spine-Chilling Horror,in Children's Fantasy & Magic Books,0
1076,A Storm of Strawberries,246 pages,"Yellow Jacket (September 24, 2019)Ê",in Children's Books on Farm Life,"in The Beatles',",in Children's eBooks on Disability,0
1077,Mary Anning's Curiosity,120 pages,"Groundwood Books (May 9, 2017)Ê",in Children's European Historical Fiction (Books),in Children's Dinosaur Books (Books),in Children's Books on Girls' & Women's Issues,0
1078,Dolls of War (The Friendship Dolls),320 pages,"Candlewick; Reprint edition (September 3, 2019)Ê",in Children's 1900s American Historical Fiction,in Children's Values Books,,0
1079,Littler Women: A Modern Retelling,224 pages,"Simon & Schuster/Paula Wiseman Books; Reprint edition (April 2, 2019)Ê",in Children's Siblings Books (Books),in Children's Books on Girls' & Women's Issues,,0
1080,Heartstopper #1: A Graphic Novel,288 pages,"Graphix; Illustrated edition (May 5, 2020)Ê",in Teen & Young Adult Romantic Comics & Graphic Novels,in Teen & Young Adult LGBTQ+ Comics & Graphic Novels,in Teen & Young Adult LGBTQ+ Fiction (Kindle Store),0
1081,The Great Shelby Holmes Meets Her Match,256 pages,"Bloomsbury Children's Books; Reprint edition (September 4, 2018)Ê",in Children's School Issues,"in Children's Mystery, Detective, & Spy",in Children's Friendship Books,0
1082,"My Pet Human Takes Center Stage (My Pet Human, 2)",112 pages,"Square Fish; Reprint edition (January 1, 2022)Ê",in Children's Cat Books (Books),in Children's Chapter Books (Books),in Children's Friendship Books,0
1083,One Hundred Spaghetti Strings,320 pages,"HarperCollins (April 11, 2017)Ê",in Children's Family Life Books (Books),,,0
1084,"Royal Crush: From the Notebooks of a Middle School Princess (From the Notebooks of a Middle School Princess, 3)",336 pages,"Square Fish; Reprint edition (August 7, 2018)Ê",in Children's Royalty Books (Books),in Children's Multigenerational Family Life,in Children's Siblings Books (Books),0
1085,The Adventures of Henry Whiskers (1),160 pages,"Aladdin; Illustrated edition (January 3, 2017)Ê",in Children's European Historical Fiction (Books),in Children's Mouse & Rodent Books,in Children's Action & Adventure Books (Books),0
1086,Death and Douglas,372 pages,"Sky Pony (October 31, 2017)Ê",in Children's Books on Death & Dying,in Children's Halloween Books (Books),"in Children's Mystery, Detective, & Spy",0
1087,The Harlem Charade,320 pages,"Scholastic Inc.; Reprint edition (April 24, 2018)Ê",in Children's Art Fiction,in Children's Black & African American Story Books,"in Children's Mystery, Detective, & Spy",0
1088,It All Comes Down to This,368 pages,"Clarion Books; Reprint edition (December 17, 2019)Ê",in Children's 1900s American Historical Fiction,in Children's Books on Prejudice & Racism,in Children's Black & African American Story Books,0
1089,Jake the Fake Keeps it Real,160 pages,"Yearling; Illustrated edition (September 4, 2018)Ê",in Children's Black & African American Story Books,in Children's School Issues,in Children's Humor,0
1090,Elsie Mae Has Something to Say,320 pages,"Sourcebooks Young Readers (September 5, 2017)Ê",in Children's Christian Friendship Fiction,in Children's Multigenerational Family Life,in Children's Friendship Books,0
1091,Ahimsa,304 pages,"Tu Books (October 1, 2017)Ê",in Children's Asia Books,in Children's Books on Girls' & Women's Issues,in Children's Historical Fiction (Books),0
1092,Gnome-a-geddon,304 pages,"Margaret K. McElderry Books; Reprint edition (May 2, 2017)Ê",in Children's Dragon Stories,"in Children's Books about Libraries & Reading',","in Children's Dragon, Unicorn & Mythical Stories",0
1093,My Future Ex-Girlfriend,232 pages,"Viking Books for Young Readers (May 16, 2017)Ê",in Children's Books on Emotions & Feelings (Kindle Store),in Children's Humorous Literature,in Children's Books on Emotions & Feelings (Books),0
1094,Alice-Miranda in China: Alice-Miranda 14,266 pages,"Random House Australia (August 29, 2016)Ê",in Children's Action & Adventure Literature,in Children's Action & Adventure Books (Books),,0
1095,In Over Their Heads (2) (Under Their Skin),320 pages,"Simon & Schuster Books for Young Readers; Reprint edition (April 10, 2018)Ê",in Children's Parents Books,in Children's Siblings Books (Books),in Children's Action & Adventure Books (Books),0
