title,author.x,Plot.Driven,Character.Driven,Mix.of.Plot.and.Character,Strong.Character.Development,Lovable.Characters,Diverse.Characters,Flaws.Of.Characters.Important,pages,genre.tags,mood.tags,genre.tags.list,mood.tags.list
"Pax, Journey Home",Sara Pennypacker          with Jon Klassen (Illustrator)        ,0.03,0.72,0.23,0.98,0.91,0.21,0.77,256,"['middle grade', 'fiction']","['adventurous', 'reflective', 'emotional']",,
Percy Jackson's Greek Heroes,Rick Riordan          with John Rocco,0.35000000000000003,0.29,0.23,0.19,0.4,0.41000000000000003,0.68,404,"['fantasy', 'middle grade', 'fiction']",['adventurous'],,
Pony,R.J. Palacio,0.15,0.13,0.71,0.84,0.89,0.29,0.2,304,"['middle grade', 'fiction']","['adventurous', 'emotional']",,
Popularmmos Presents Enter the Mine,Popularmmos          with Dani Jones (Illustrator)        ,NA,NA,1,NA,1,NA,NA,208,"['childrens', 'comics', 'fantasy', 'graphic novel', 'fiction']","['adventurous', 'reflective']",,
PopularMMOs Presents: A Hole New World,Popularmmos          with Dani Jones (Illustrator)        ,NA,1,NA,1,1,NA,1,208,"['childrens', 'comics', 'fantasy', 'graphic novel', 'fiction']",['adventurous'],,
Pottymouth and Stoopid,James Patterson          with Stephen Gilpin (Illustrator)        ,NA,NA,1,1,1,1,1,336,"['childrens', 'middle grade', 'fiction']",['funny'],,
"Project Middle School (Alyssa Milano's Hope #1), Volume 1","Alyssa Milano, Debbie Rigaud          with Eric S. Keyes (Illustrator)        ",NA,NA,NA,NA,NA,NA,NA,208,"['childrens', 'education', 'fiction']",[],,
Quest for Planet X,Tessa Gratton,0.2,0.2,0.6,0.93,0.96,1,0.42,278,"['fantasy', 'science fiction', 'middle grade', 'fiction']","['hopeful', 'lighthearted', 'adventurous']",,
Quiet Power: The Secret Strengths of Introverts,"Gregory Mone, Susan Cain, Erica Moroz",NA,NA,NA,NA,NA,NA,NA,288,"['nonfiction', 'self help', 'psychology']","['informative', 'lighthearted', 'reflective']",,
Race to the Sun,Rebecca Roanhorse,0.35000000000000003,0.12,0.52,0.8200000000000001,0.89,0.9500000000000001,0.67,302,"['fantasy', 'middle grade', 'fiction']","['mysterious', 'adventurous']",,
"Rad American Women A-Z: Rebels, Trailblazers, and Visionaries Who Shaped Our History . . . and Our Future!",Kate Schatz          with Miriam Klein Stahl (Illustrator)        ,NA,NA,NA,NA,NA,NA,NA,64,"['childrens', 'feminism', 'history', 'nonfiction', 'biography', 'middle grade']","['inspiring', 'informative']",,
"Rad Women Worldwide: Artists and Athletes, Pirates and Punks, and Other Revolutionaries Who Shaped History","Miriam Klein Stahl, Kate Schatz, Elia Maqueda",NA,NA,NA,NA,NA,NA,NA,112,"['nonfiction', 'biography', 'feminism', 'history']","['informative', 'inspiring']",,
Raymie Nightingale,Kate DiCamillo,0.19,0.61,0.19,0.9,0.97,0.18,0.51,272,"['middle grade', 'historical', 'fiction']","['funny', 'hopeful', 'emotional']",,
Rebound,Kwame Alexander,0.04,0.56,0.4,0.88,0.96,0.91,0.63,416,"['sports', 'poetry', 'middle grade', 'fiction']","['emotional', 'reflective']",,
Red: The True Story of Red Riding Hood,Liesl Shurtliff,0.14,0.28,0.5700000000000001,1,0.85,0.16,0.8300000000000001,256,"['fantasy', 'middle grade', 'fiction']",['adventurous'],,
Refugee,Alan Gratz,0.32,0.16,0.52,0.67,0.8200000000000001,0.96,0.13,446,"['middle grade', 'historical', 'fiction', 'young adult']","['sad', 'emotional']",,
"Return to the Isle of the Lost (a Descendants Novel, Book 2): A Descendants Novel",Melissa de la Cruz,0.37,0.04,0.54,0.6,0.91,0.52,0.68,320,"['fantasy', 'middle grade', 'fiction', 'young adult']",['lighthearted'],,
Rise of the Wolf,Jennifer A. Nielsen,0.25,0.25,0.5,0.33,1,0.5,0.33,352,"['fantasy', 'historical', 'young adult', 'fiction']",['adventurous'],,
Rise of the Wolf,Jennifer A. Nielsen,0.25,0.25,0.5,0.33,1,0.5,0.33,352,"['fantasy', 'historical', 'young adult', 'fiction']",['adventurous'],,
River,Erin Hunter,0.11,0.18,0.7000000000000001,0.22,0.59,0.29,0.62,352,"['fantasy', 'fiction']","['mysterious', 'adventurous', 'dark']",,
Robots Go Wild!,James Patterson,NA,NA,NA,NA,NA,NA,NA,336,"['childrens', 'science fiction', 'fiction']",['lighthearted'],,
Ronan Boyle and the Bridge of Riddles,Thomas Lennon          with John Hendrix (Illustrator)        ,0.5,NA,0.5,0.5,1,0.75,0.4,304,"['fantasy', 'middle grade', 'fiction']",['adventurous'],,
Rosie Revere and the Raucous Riveters,Andrea Beaty          with David Roberts (Illustrator)        ,0.2,0.2,0.6,0.75,1,0.6,0.5,144,"['childrens', 'middle grade', 'fiction']","['informative', 'lighthearted']",,
Rowley Jefferson's Awesome Friendly Adventure,Jeff Kinney,0.3,0.2,0.5,0.41000000000000003,0.63,0.27,0.45,224,"['middle grade', 'fiction']","['adventurous', 'funny', 'lighthearted']",,
"Rumple Buttercup: A Story of Bananas, Belonging, and Being Yourself",Matthew Gray Gubler,0.04,0.81,0.12,0.87,1,0.6,0.73,136,"['childrens', 'fiction']","['funny', 'lighthearted']",,
Search for Treasure,"Angela May, Mary Alice Monroe",NA,NA,NA,NA,NA,NA,NA,272,"['middle grade', 'fiction']","['adventurous', 'mysterious', 'emotional']",,
Serafina and the Black Cloak,Robert Beatty,0.3,0.09,0.5700000000000001,0.77,0.9,0.21,0.28,304,"['fantasy', 'middle grade', 'fiction', 'mystery']","['adventurous', 'mysterious', 'dark']",,
Serafina and the Twisted Staff (the Serafina Series Book 2),Robert Beatty,0.66,NA,0.33,0.84,1,0.09,0.41000000000000003,384,"['fantasy', 'middle grade', 'fiction', 'mystery']","['adventurous', 'mysterious']",,
Short,Holly Goldberg Sloan,NA,0.5700000000000001,0.42,0.85,0.42,1,0.66,304,"['middle grade', 'fiction']","['lighthearted', 'funny']",,
Shouting at the Rain,Lynda Mullaly Hunt,NA,0.78,0.21,1,0.8,0.27,0.7000000000000001,288,"['middle grade', 'fiction']","['emotional', 'hopeful']",,
Skandar and the Phantom Rider,A.F. Steadman,NA,0.25,0.75,1,1,0.92,0.36,368,"['fantasy', 'middle grade', 'fiction']","['adventurous', 'dark']",,
Skandar and the Unicorn Thief,A.F. Steadman,0.28,0.08,0.62,0.78,0.84,0.66,0.38,368,"['fantasy', 'middle grade', 'fiction']",['adventurous'],,
Snow & Rose,Emily Winfield Martin,0.24,0.28,0.45,0.53,0.91,0.17,0.17,NA,"['fantasy', 'middle grade', 'fiction']","['mysterious', 'adventurous']",,
Some Writer!: The Story of E. B. White,Melissa Sweet,NA,NA,NA,NA,NA,NA,NA,176,"['nonfiction', 'childrens', 'biography']","['inspiring', 'informative', 'lighthearted']",,
Spaced Out,Stuart Gibbs,0.8300000000000001,0.16,NA,0.4,1,0.8,NA,352,"['science fiction', 'mystery', 'middle grade', 'fiction']","['mysterious', 'adventurous']",,
Spaced Out,Stuart Gibbs,0.8300000000000001,0.16,NA,0.4,1,0.8,NA,352,"['science fiction', 'mystery', 'middle grade', 'fiction']","['mysterious', 'adventurous']",,
Squirm,Carl Hiaasen,0.41000000000000003,0.16,0.41000000000000003,0.36,0.75,0.58,0.33,288,"['middle grade', 'young adult', 'fiction']","['adventurous', 'funny']",,
"Stamped (For Kids): Racism, Antiracism, and You","Jason Reynolds          with Ibram X. Kendi, Rachelle Baker, Sonja Cherry-Paul",NA,NA,NA,NA,NA,NA,NA,NA,"['nonfiction', 'childrens', 'history', 'race']","['informative', 'challenging', 'reflective']",,
Star Wars The High Republic: Race to Crashpoint Tower,Daniel José Older,NA,NA,NA,NA,NA,NA,NA,NA,[],[],,
Star Wars: Before the Awakening,Greg Rucka,0.15,0.46,0.38,0.42,0.78,0.85,0.46,224,"['science fiction', 'young adult', 'fiction']","['adventurous', 'tense']",,
"Star Wars: Journey to Star Wars: The Force Awakens: Shattered Empire
          Star Wars: Captain Phasma #1-4",          with Marco Chechetto (Illustrator)        ,0.5,0.12,0.37,0.25,0.75,0.5,NA,136,"['science fiction', 'graphic novel', 'fiction', 'science']",['adventurous'],,
Star Wars: The High Republic: A Test of Courage,Justina Ireland          with Keylor Leigh (Narrator)        ,0.16,0.33,0.5,0.8300000000000001,0.8300000000000001,0.8300000000000001,0.66,NA,"['science fiction', 'fiction']",['adventurous'],,
Start Now!: You Can Make a Difference,Chelsea Clinton,NA,NA,NA,NA,NA,NA,NA,144,"['nonfiction', 'middle grade', 'childrens']","['inspiring', 'informative', 'lighthearted']",,
Stories for Boys Who Dare to Be Different: True Tales of Amazing Boys Who Changed the World Without Killing Dragons,Ben Brooks          with Quinton Wintor (Illustrator)        ,NA,NA,NA,NA,NA,NA,NA,160,"['nonfiction', 'history', 'childrens']","['informative', 'reflective']",,
"Stuntboy, in the Meantime",Jason Reynolds          with Raúl The Third (Illustrator)        ,0.11,0.58,0.3,0.75,0.96,0.98,0.5700000000000001,256,"['middle grade', 'fiction']","['adventurous', 'lighthearted']",,
Super Good Baking for Kids,Duff Goldman,NA,NA,NA,NA,NA,NA,NA,208,[],"['informative', 'lighthearted']",,
"Superpowered: Transform Anxiety Into Courage, Confidence, and Resilience","Renee Jain, Shefali Tsabary",NA,NA,NA,NA,NA,NA,NA,336,"['nonfiction', 'self help', 'psychology']","['inspiring', 'informative', 'hopeful']",,
Survivors Club: The True Story of a Very Young Prisoner of Auschwitz,"Debbie Bornstein Holinstat, Michael Bornstein",NA,NA,NA,NA,NA,NA,NA,352,"['nonfiction', 'history', 'memoir']","['emotional', 'hopeful', 'sad']",,
The Answer,"Rebecca Sugar          with Tiffany Ford, Elle Michalka",NA,NA,NA,NA,NA,NA,NA,32,[],[],,
The Atlas Obscura Explorer's Guide for the World's Most Adventurous Kid,"Dylan Thuras, Rosemary Mosco          with Joy Ang (Illustrator)        ",NA,NA,NA,NA,NA,NA,NA,112,"['nonfiction', 'travel', 'childrens', 'history']",['adventurous'],,
The Beatryce Prophecy,Kate DiCamillo          with Sophie Blackall (Illustrator)        ,0.18,0.2,0.61,0.68,0.98,0.26,0.15,256,"['childrens', 'historical', 'fantasy', 'middle grade', 'fiction']","['adventurous', 'mysterious', 'dark']",,
The Beloved World of Sonia Sotomayor,Sonia Sotomayor          with Jaina Lee Ortiz,NA,NA,NA,NA,NA,NA,NA,NA,"['nonfiction', 'biography', 'middle grade', 'memoir']","['informative', 'hopeful', 'inspiring']",,
The Best Bear in All the World,"Jeanne Willis, Kate Saunders, Brian Sibley",0.14,0.5700000000000001,0.28,NA,1,0.16,NA,128,"['classics', 'childrens', 'fiction']",['lighthearted'],,
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown,NA,NA,NA,NA,NA,NA,NA,404,"['nonfiction', 'sports', 'history', 'biography']","['inspiring', 'informative', 'emotional']",,
The Candymakers and the Great Chocolate Chase,Wendy Mass,0.12,0.12,0.75,0.87,1,0.5,0.5,544,"['mystery', 'childrens', 'middle grade', 'fiction']",['mysterious'],,
The Christmas Pig,J.K. Rowling          with Jim Field (Illustrator)        ,0.3,0.13,0.56,0.81,0.93,0.41000000000000003,0.34,288,"['childrens', 'middle grade', 'fiction']","['adventurous', 'emotional']",,
"The Complete Baking Book for Young Chefs: 100+ Sweet and Savory Recipes That You'll Love to Bake, Share and Eat!",America's Test Kitchen Kids,NA,NA,NA,NA,NA,NA,NA,224,"['nonfiction', 'childrens']","['inspiring', 'informative', 'lighthearted']",,
The Complete Cookbook for Young Chefs: 100+ Recipes That You'll Love to Cook and Eat,America's Test Kitchen Kids,NA,NA,NA,NA,NA,NA,NA,208,"['nonfiction', 'food and drink', 'childrens']","['informative', 'lighthearted']",,
"The Confidence Code for Girls: Taking Risks, Messing Up, and Becoming Your Amazingly Imperfect, Totally Powerful Self","Claire Shipman, Katty Kay",NA,NA,NA,NA,NA,NA,NA,NA,"['nonfiction', 'self help', 'childrens']","['inspiring', 'informative', 'lighthearted']",,
The Copper Gauntlet,"Holly Black, Cassandra Clare",0.26,0.11,0.62,0.72,0.92,0.64,0.73,272,"['fantasy', 'middle grade', 'fiction']",['adventurous'],,
The Creature of the Pines,Adam Gidwitz          with Hatem Aly (Illustrator)        ,0.77,NA,0.22,0.55,1,1,NA,192,"['fantasy', 'middle grade', 'fiction']","['adventurous', 'lighthearted']",,
The Crossover,Kwame Alexander,0.02,0.61,0.34,0.8200000000000001,0.87,0.84,0.67,240,"['fiction', 'poetry', 'young adult', 'sports']","['hopeful', 'emotional']",,
The Cursed Carnival and Other Calamities,"Rick Riordan          with J.C. Cervantes (Contributor), Sarwat Chadda (Contributor), Kwame Mbalia (Contributor), Rebecca Roanhorse (Contributor), Graci Kim (Contributor), Roshani Chokshi (Contributor), Yoon Ha Lee (Contributor), Carlos Hernandez (Contributor), Tehlor Kay Mejia (Contributor)        ",0.21,0.1,0.5700000000000001,0.26,0.73,0.9400000000000001,0.27,496,"['fantasy', 'middle grade', 'fiction', 'short stories']","['adventurous', 'emotional']",,
The Dark Prophecy,Rick Riordan,0.28,0.08,0.62,0.79,0.86,0.88,0.8300000000000001,432,"['fantasy', 'middle grade', 'fiction']",['adventurous'],,
"The Day the President Was Shot: The Secret Service, the Fbi, a Would-Be Killer, and the Attempted Assassination of Ronald Reagan",Bill O'Reilly,NA,NA,NA,NA,NA,NA,NA,256,"['nonfiction', 'history', 'biography']",['informative'],,
The Door of No Return,Kwame Alexander,0.09,0.2,0.7000000000000001,0.7000000000000001,0.8300000000000001,0.88,0.13,432,"['historical', 'middle grade', 'young adult', 'fiction']","['emotional', 'adventurous']",,
The Eyes and the Impossible,Dave Eggers          with Shawn Harris (Illustrator)        ,NA,0.16,0.8300000000000001,0.8300000000000001,1,0.4,0.2,256,"['middle grade', 'fiction']","['lighthearted', 'adventurous']",,
The Fierce 44: Black Americans Who Shook Up the World,The Staff of The Undefeated          with Robert Ball (Illustrator)        ,NA,NA,NA,NA,NA,NA,NA,96,"['nonfiction', 'biography', 'middle grade', 'history']","['informative', 'reflective']",,
The Fire Keeper,J.C. Cervantes          with Irvin Rodriguez (Illustrator)        ,0.5700000000000001,0.03,0.38,0.64,0.88,0.96,0.56,432,"['fantasy', 'middle grade', 'fiction']","['adventurous', 'mysterious']",,
The Fort,Gordon Korman,0.05,0.35000000000000003,0.55,0.85,0.89,0.4,0.5,256,"['middle grade', 'fiction']","['hopeful', 'emotional']",,
The Friendship Code,"Reshma Saujani, Stacia Deutsch, Sisi A. Johnson",NA,NA,NA,1,1,1,1,NA,"['childrens', 'middle grade', 'fiction']",['lighthearted'],,
The Game Master: Summer Schooled,"Matt Zamolo, Rebecca Zamolo",1,NA,NA,NA,NA,NA,NA,167,"['fantasy', 'middle grade', 'fiction']",[],,
The Game of Stars,Sayantani DasGupta,0.5700000000000001,NA,0.42,0.37,0.77,0.9,0.16,10,"['fantasy', 'middle grade', 'fiction']","['lighthearted', 'adventurous']",,
The Girl Who Drank the Moon,Kelly Barnhill,0.14,0.24,0.61,0.81,0.92,0.58,0.46,388,"['fantasy', 'middle grade', 'fiction']","['adventurous', 'hopeful', 'emotional']",,
The Golden Frog Games,Claribel A. Ortega,0.23,0.19,0.5700000000000001,0.9500000000000001,0.9,1,0.5,352,"['fantasy', 'middle grade', 'fiction']","['mysterious', 'adventurous']",,
The Gutsy Girl: Escapades for Your Life of Epic Adventure,Caroline Paul          with Wendy Macnaughton (Illustrator)        ,NA,NA,NA,NA,NA,NA,NA,160,"['nonfiction', 'feminism', 'memoir', 'childrens']","['inspiring', 'informative']",,
The Hammer of Thor,Rick Riordan,0.34,0.05,0.59,0.76,0.96,0.98,0.4,480,"['fantasy', 'fiction', 'young adult']",['adventurous'],,
The Hidden Oracle,Rick Riordan,0.18,0.17,0.63,0.79,0.81,0.8200000000000001,0.88,320,"['fantasy', 'middle grade', 'fiction']",['adventurous'],,
The Hocus Pocus Spell Book,Eric Geron,NA,NA,NA,NA,NA,NA,NA,240,[],"['adventurous', 'mysterious', 'lighthearted']",,
The Human Kaboom,Adam Rubin,NA,NA,NA,NA,NA,NA,NA,416,"['middle grade', 'fiction', 'young adult']","['adventurous', 'reflective', 'dark']",,
The Ice Cream Machine,"Adam Rubin          with Nicole Miles (Illustrator), Seaerra Miller (Illustrator), Daniel Salmieri (Illustrator), Charles Santoso (Illustrator), Liniers (Illustrator), Emily Hughes (Illustrator)        ",0.66,NA,0.33,0.33,1,0.33,0.33,384,"['short stories', 'middle grade', 'fiction']","['adventurous', 'lighthearted']",,
The Ickabog,J.K. Rowling,0.45,0.1,0.43,0.63,0.61,0.41000000000000003,0.58,304,"['childrens', 'fantasy', 'middle grade', 'fiction']",['adventurous'],,
"The Impossible Crime (Mac B., Kid Spy #2), Volume 2",Mac Barnett          with Mike Lowery (Illustrator)        ,NA,NA,NA,NA,NA,NA,NA,160,"['childrens', 'middle grade', 'fiction', 'mystery']","['funny', 'lighthearted']",,
"The Inquisitor's Tale: Or, the Three Magical Children and Their Holy Dog",Adam Gidwitz          with Hatem Aly (Illustrator)        ,0.32,0.08,0.58,0.85,0.88,0.88,0.2,384,"['fantasy', 'historical', 'middle grade', 'fiction']",['adventurous'],,
The Islanders,Mary Alice Monroe,NA,0.5,0.5,1,1,1,0.75,304,"['nature', 'childrens', 'science', 'fiction']","['lighthearted', 'relaxing']",,
The Isle of the Lost,Melissa de la Cruz,0.12,0.32,0.51,0.7000000000000001,0.74,0.25,0.74,320,"['fantasy', 'middle grade', 'fiction', 'young adult']",['adventurous'],,
The Keeper,David Baldacci,0.56,0.06,0.37,0.55,0.56,0.27,0.18,448,"['fantasy', 'young adult', 'fiction']",['adventurous'],,
The Land of Stories: A Treasury of Classic Fairy Tales,Chris Colfer,0.5,NA,NA,NA,0.5,NA,0.5,NA,"['short stories', 'fantasy', 'fiction']","['lighthearted', 'adventurous']",,
The Last Cuentista,Donna Barba Higuera,0.2,0.18,0.6,0.74,0.85,0.92,0.18,320,"['science fiction', 'middle grade', 'fiction']","['adventurous', 'hopeful', 'emotional']",,
The Last Kids on Earth and the Zombie Parade,"Douglas Holgate, Max Brallier",0.5,0.14,0.35000000000000003,0.5700000000000001,1,0.85,0.07,240,"['fantasy', 'middle grade', 'fiction']","['adventurous', 'funny']",,
"The Littlest Bigfoot, Volume 1",Jennifer Weiner,0.25,0.25,0.5,1,1,0.25,0.75,304,"['fantasy', 'childrens', 'middle grade', 'fiction']",['lighthearted'],,
The Magic Misfits,"Neil Patrick Harris          with Kyle Hinton (Illustrator), Lissy Marlin (Illustrator)        ",0.27,0.09,0.62,0.64,0.96,0.9500000000000001,0.3,253,"['fantasy', 'middle grade', 'fiction']","['adventurous', 'funny', 'lighthearted']",,
The Magic Misfits: The Second Story,"Neil Patrick Harris          with Lissy Marlin (Illustrator), Kyle Hilton (Illustrator)        ",0.07,0.23,0.6900000000000001,0.84,1,0.93,0.15,336,"['fantasy', 'middle grade', 'fiction']","['adventurous', 'mysterious', 'lighthearted']",,
The Marvellers,Dhonielle Clayton,0.21,0.1,0.67,0.8,0.92,1,0.28,416,"['fantasy', 'middle grade', 'fiction']","['adventurous', 'mysterious']",,
The Marvels,Brian Selznick,0.18,0.41000000000000003,0.39,0.68,0.87,0.43,0.25,672,"['childrens', 'historical', 'fiction', 'mystery']","['adventurous', 'mysterious', 'emotional']",,
The Midnight Children,Dan Gemeinhart,0.16,0.3,0.52,0.9,0.93,0.18,0.51,352,"['middle grade', 'fiction']","['mysterious', 'emotional']",,
The Misadventures of Max Crumbly 2: Middle School Mayhem,Rachel Renée Russell          with Rachel Renée Russell (Illustrator)        ,NA,0.5,0.5,NA,0.66,NA,0.5,240,"['middle grade', 'fiction']","['funny', 'lighthearted']",,
The Misadventures of Max Crumbly: Locker Hero,Rachel Ren Russell          with Rachel Ren Russell (Illustrator)        ,0.2,0.2,0.6,0.2,0.8,0.16,0.6,320,"['childrens', 'middle grade', 'fiction']",['funny'],,
The Official Harry Potter Baking Book: 45 Recipes Inspired by the Films,Joanna Farrow,NA,NA,NA,NA,NA,NA,NA,128,"['nonfiction', 'food and drink', 'childrens']","['informative', 'lighthearted']",,
The Ogress and the Orphans,Kelly Barnhill,0.15,0.34,0.5,0.74,0.93,0.58,0.44,400,"['middle grade', 'fiction']","['mysterious', 'hopeful', 'reflective']",,
The One and Only Bob,Katherine Applegate          with Patricia Castelao (Illustrator)        ,0.2,0.29,0.49,0.74,0.96,0.44,0.48,352,"['childrens', 'middle grade', 'fiction']","['adventurous', 'funny', 'lighthearted']",,
"The Playbook: 52 Rules to Aim, Shoot, and Score in This Game Called Life",Kwame Alexander,NA,NA,NA,NA,NA,NA,NA,169,"['nonfiction', 'poetry', 'middle grade', 'sports']",['adventurous'],,
The Princess in Black and the Perfect Princess Party,"Shannon Hale, Dean Hale          with LeUyen Pham (Illustrator)        ",0.5,NA,0.5,0.5,1,1,NA,96,"['childrens', 'fantasy', 'fiction']","['adventurous', 'lighthearted']",,
The Purloining of Prince Oleomargarine,"Mark Twain, Philip C. Stead          with Erin Stead (Illustrator)        ",1,NA,NA,NA,1,NA,NA,152,"['childrens', 'fantasy', 'fiction']","['adventurous', 'funny']",,
The Rhythm of Time,"Questlove, S. A. Cosby          with Keylor Leigh (Narrator)        ",0.5,NA,0.5,0.5700000000000001,0.75,0.75,0.42,NA,"['middle grade', 'fiction']",[],,
The Secret Keepers,Trenton Lee Stewart,0.6,0.05,0.35000000000000003,0.6,0.9,0.21,0.38,512,"['fantasy', 'middle grade', 'fiction', 'mystery']","['adventurous', 'mysterious']",,
The Silver Arrow,Lev Grossman,0.47000000000000003,0.08,0.44,0.81,0.85,0.27,0.24,272,"['childrens', 'fantasy', 'middle grade', 'fiction']","['adventurous', 'mysterious', 'lighthearted']",,
The Sister Switch (Best Wishes #2),"Debbie Rigaud, Sarah Mlynowski, Maxine Vee",NA,1,NA,1,NA,1,NA,192,"['fantasy', 'childrens', 'fiction']","['lighthearted', 'adventurous']",,
The Stars Did Wander Darkling,Colin Meloy,0.71,NA,0.28,0.35000000000000003,0.88,0.06,0.1,336,"['thriller', 'horror', 'fiction', 'young adult']","['adventurous', 'mysterious', 'dark']",,
The Storm Runner,J.C. Cervantes,0.5,0.08,0.38,0.75,0.71,0.85,0.62,431,"['fantasy', 'childrens', 'middle grade', 'fiction']",['adventurous'],,
The Story of Diva and Flea,Mo Willems          with Tony DiTerlizzi (Illustrator)        ,0.2,0.2,0.6,0.8,1,0.6,0.6,80,"['childrens', 'fiction']",['lighthearted'],,
The Sun and the Star,"Mark Oshiro, Rick Riordan",0.07,0.27,0.64,0.98,0.99,0.87,0.88,480,"['fantasy', 'lgbtqia+', 'middle grade', 'fiction']","['adventurous', 'funny', 'emotional']",,
The Swifts: A Dictionary of Scoundrels,Beth Lincoln          with Claire Powell (Illustrator)        ,0.25,0.03,0.71,0.92,0.96,0.87,0.6900000000000001,352,"['middle grade', 'fiction']","['mysterious', 'lighthearted', 'funny']",,
The Sword of Summer,Rick Riordan,0.29,0.06,0.62,0.79,0.9400000000000001,0.93,0.39,497,"['fantasy', 'fiction', 'young adult']","['adventurous', 'funny', 'lighthearted']",,
The Terrible Two,"Mac Barnett          with Jory John, Kevin Cornell",0.33,0.22,0.44,0.75,0.75,0.5,0.28,218,"['middle grade', 'fiction']","['funny', 'lighthearted']",,
The Terrible Two Get Worse,"Jory John, Mac Barnett          with Kevin Cornell (Illustrator)        ",NA,1,NA,0.5,1,0.5,NA,224,"['middle grade', 'fiction']","['funny', 'lighthearted']",,
The Thing About Jellyfish,Ali Benjamin,0.01,0.74,0.24,0.87,0.84,0.3,0.71,352,"['fiction', 'young adult']","['reflective', 'emotional']",,
The Unbreakable Code,Jennifer Chambliss Bertman,0.5,NA,0.5,0.5,1,0.76,0.15,368,"['mystery', 'middle grade', 'fiction']","['mysterious', 'adventurous']",,
The Vanderbeekers and the Hidden Garden,Karina Yan Glaser,0.34,0.13,0.51,0.75,0.97,0.91,0.11,336,"['contemporary', 'middle grade', 'fiction']","['emotional', 'hopeful', 'lighthearted']",,
The War I Finally Won,Kimberly Brubaker Bradley,0.04,0.55,0.39,0.97,0.91,0.49,0.72,400,"['fiction', 'young adult']",['emotional'],,
The War That Saved My Life,Kimberly Brubaker Bradley,0.07,0.41000000000000003,0.51,0.97,0.89,0.31,0.73,320,"['middle grade', 'historical', 'fiction']","['hopeful', 'emotional', 'reflective']",,
The Wild Robot,Peter Brown,0.08,0.56,0.35000000000000003,0.86,0.96,0.48,0.23,279,"['fantasy', 'science fiction', 'middle grade', 'fiction']","['adventurous', 'hopeful', 'lighthearted']",,
The Wild Robot Escapes,Peter Brown,0.31,0.24,0.44,0.67,0.96,0.64,0.15,288,"['fantasy', 'science fiction', 'fiction']","['adventurous', 'emotional']",,
The Windeby Puzzle: History and Story,Lois Lowry,0.25,0.58,0.16,0.29,0.7000000000000001,0.2,0.31,224,"['historical', 'childrens', 'middle grade', 'fiction']","['hopeful', 'mysterious']",,
The Wizards of Once,Cressida Cowell,0.3,0.06,0.63,0.6,0.73,0.44,0.74,393,"['fantasy', 'middle grade', 'fiction']","['lighthearted', 'adventurous', 'funny']",,
The Wizenard Series: Season One,Wesley King,NA,0.5,0.5,1,1,1,1,208,"['childrens', 'fantasy', 'fiction', 'sports']",['adventurous'],,
The Wizenard Series: Training Camp,"Wesley King, Kobe Bryant",NA,NA,NA,NA,NA,NA,NA,816,"['fantasy', 'middle grade', 'fiction', 'sports']",['adventurous'],,
The Zodiac Legacy: The Dragon's Return,"Stuart Moore, Stan Lee          with Andie Tong (Illustrator)        ",NA,NA,1,0.75,0.8,1,1,432,"['fantasy', 'middle grade', 'young adult', 'fiction']",['adventurous'],,
Thirst,Varsha Bajaj,0.25,0.15,0.59,0.8300000000000001,0.96,0.87,0.11,192,"['contemporary', 'middle grade', 'fiction']","['informative', 'hopeful', 'inspiring']",,
This Is Your Time,Ruby Bridges,NA,NA,NA,NA,NA,NA,NA,64,"['nonfiction', 'memoir', 'childrens', 'history']",['emotional'],,
Three Keys,Kelly Yang,0.13,0.2,0.65,0.92,0.97,1,0.34,304,"['middle grade', 'fiction']","['emotional', 'hopeful', 'inspiring']",,
Tristan Strong Destroys The World,Kwame Mbalia,0.43,0.09,0.47000000000000003,0.81,0.91,0.9500000000000001,0.63,320,"['fantasy', 'middle grade', 'fiction']","['emotional', 'lighthearted', 'adventurous']",,
Tristan Strong Punches a Hole in the Sky,Kwame Mbalia,0.33,0.06,0.6,0.91,0.93,0.9400000000000001,0.73,496,"['fantasy', 'middle grade', 'fiction']","['adventurous', 'lighthearted', 'emotional']",,
Troublemaker,John Cho          with Sarah Suk (Contributor)        ,0.15,0.33,0.51,0.87,0.8,0.96,0.76,288,"['historical', 'middle grade', 'young adult', 'fiction']","['emotional', 'reflective']",,
Tunnel of Bones ,Victoria Schwab,0.38,0.1,0.5,0.55,0.9400000000000001,0.18,0.3,304,"['fantasy', 'middle grade', 'fiction']","['mysterious', 'adventurous']",,
Two Degrees,Alan Gratz,0.52,0.02,0.44,0.81,0.84,0.87,0.09,384,"['middle grade', 'fiction']","['sad', 'reflective', 'emotional']",,
Uncomfortable Conversations with a Black Boy,Emmanuel Acho,NA,NA,NA,NA,NA,NA,NA,320,"['nonfiction', 'childrens', 'race']","['informative', 'challenging', 'reflective']",,
"Unstoppable Us, Volume 1: How Humans Took Over the World",Yuval Noah Harari,NA,NA,NA,NA,NA,NA,NA,NA,['nonfiction'],[],,
Warriors: A Starless Clan #2: Sky,Erin Hunter,0.33,0.16,0.5,0.41000000000000003,0.55,0.35000000000000003,0.7000000000000001,NA,"['fantasy', 'fiction']","['adventurous', 'mysterious', 'tense']",,
