,title,categories,pages,ISBN-13,publisher
140,Three Keys (Front Desk #2),"Children's Asian & Asian American Books, Children's Fiction on Social Situations, Children's Friendship Books",288 pages,978-1338591385,"Scholastic Press (September 15, 2020)"
141,The Silver Arrow ,"Children's Environment Books (Books), Children's Siblings Books (Books), Children's Fantasy & Magic Books",272 pages,978-0316539531,"Little, Brown Books for Young Readers; Illustrated edition (September 1, 2020)"
142,Dragonslayer (Wings of Fire: Legends) ,"Children's Dragon, Unicorn & Mythical Stories, Children's Fantasy & Magic Books, Children's Action & Adventure Books (Books)",512 pages,978-1338214604,"Scholastic Press; Illustrated edition (March 3, 2020)"
143,Finish the Fight!: The Brave and Revolutionary Women Who Fought for the Right to Vote ,"Children's Social Activists Biographies (Books), Children's Government Books, Children's American History of 1900s",144 pages,978-0358408307,"Versify; Illustrated edition (August 18, 2020)"
144,"Ali Cross (Ali Cross, 1)","Children's Parents Books, Children's Mystery, Detective, & Spy, Children's Friendship Books",320 pages,978-0316530415,"jimmy patterson; First Edition, 2nd printing (November 25, 2019)"
145,Other Words for Home: A Newbery Honor Award Winner ,"Children's Middle East Books, Children's Fiction on Social Situations, 'Stories Verse'",352 pages,978-0062747808,"Balzer + Bray; 1st edition (May 28, 2019)"
146,Tristan Strong Punches a Hole in the Sky ,"Children's Black & African American Story Books, Children's Fantasy & Magic Books, Children's Action & Adventure Books (Books)",496 pages,978-1368039932,"Rick Riordan Presents (October 15, 2019)"
147,"Little Dreamers: Visionary Women Around the World (Leaders & Dreamers, 2)","Children's Historical Biographies (Books), Children's Women Biographies (Books), Children's Books on Girls' & Women's Issues",96 pages,978-0316475174,"Little, Brown Books for Young Readers; Illustrated edition (November 6, 2018)"
148,If We Were Giants ,"Children's Environment Books (Books), Children's Multigenerational Family Life, Children's Fantasy & Magic Books",304 pages,978-1484778715,"Disney-Hyperion; Illustrated edition (March 3, 2020)"
149,"The Wizenard Series: Season One (The Wizenard Series, 2)","Children's Basketball Books (Books), Children's Fantasy & Magic Books, Children's Growing Up & Facts of Life Books (Books)",208 pages,978-1949520149,"Granity Studios; New edition (March 31, 2020)"
150,Greystone Secrets #2: The Deceivers,"Children's Mystery, Detective, & Spy, Children's Fantasy & Magic Books, Children's Action & Adventure Books (Books)",448 pages,978-0062838407,"Katherine Tegen Books (April 7, 2020)"
151,City Spies (1),"Children's Mystery, Detective, & Spy, Children's Action & Adventure Books (Books), Children's Family Life Books (Books)",384 pages,978-1534414914,"Aladdin (March 10, 2020)"
152,"Legacy and the Queen (Legacy and the Queen, 1)","Teen & Young Adult Basketball Fiction', 'Teen & Young Adult Fiction on Orphans & Foster Homes (Books)', 'Teen & Young Adult Sword & Sorcery Fantasy'",208 pages,978-1949520033,"Granity Studios; 1st edition (September 3, 2019)"
153,Finding Home (A Baxter Family Children Story) ,"Children's Christian Friendship Fiction, Children's Christian Family Fiction, Children's Christian Values Fiction",320 pages,978-1534412187,"Simon & Schuster/Paula Wiseman Books (February 25, 2020)"
154,"Epoca: The Tree of Ecrof (Epoca, 1)","Children's Sports & Outdoors Books (Books), Children's Fantasy & Magic Books, Children's Growing Up & Facts of Life Books (Books)",368 pages,978-1949520071,"Granity Studios; 1st edition (November 12, 2019)"
155,"The Wizenard Series: Training Camp (The Wizenard Series, 1)","Teen & Young Adult Basketball Fiction', 'Teen & Young Adult Contemporary Fantasy', 'Teen & Young Adult Wizards & Witches Fantasy'",592 pages,978-1949520019,"Granity Studios; 1st edition (March 19, 2019)"
156,The Fierce 44: Black Americans Who Shook Up the World,"Children's Jobs & Careers Reference Books, Children's Multicultural Biographies, Children's Black & African American Story Books",96 pages,978-1328940629,"Clarion Books (December 24, 2019)"
157,Rick Riordan Presents: Race to the Sun ,"Children's American Folk Tales & Myths, Children's Fantasy & Magic Books, Children's Action & Adventure Books (Books)",320 pages,978-1368024662,"Rick Riordan Presents (January 14, 2020)"
158,"Beverly, Right Here ","Children's Books on Runaways, Children's Parents Books, Children's Historical Fiction (Books)",256 pages,978-0763694647,"Candlewick (September 24, 2019)"
159,"Dog Diaries: Happy Howlidays: A Middle School Story (Dog Diaries, 2)","Children's Christmas Books (Books), Children's Dog Books (Books), Children's Action & Adventure Books (Books)",240 pages,978-0316456180,"jimmy patterson (October 14, 2019)"
160,A Beautiful Day in the Neighborhood: The Poetry of Mister Rogers (Mister Rogers Poetry Books) ,"Children's Television & Radio Performing Books, Children's Poetry (Books), Children's Books on Emotions & Feelings (Books)",144 pages,978-1683691136,"Quirk Books; First Edition (March 19, 2019)"
161,The Atlas Obscura Explorer’s Guide for the World’s Most Adventurous Kid ,"Children's Mystery & Wonders Books (Books), Children's Travel Books (Books), Children's Action & Adventure Books (Books)",112 pages,978-1523503544,"Workman Publishing Company; Illustrated edition (September 18, 2018)"
162,Good Night Stories for Rebel Girls ,,212 pages,978-0141986005,"Elena Favilli; First Edition (January 1, 2016)"
163,Warriors: The Broken Code #2: The Silent Thaw,"Children's Cat Books (Books), Children's Fantasy & Magic Books, Children's Action & Adventure Books (Books)",352 pages,978-0062823557,"HarperCollins (October 29, 2019)"
164,"The Wild Robot (Volume 1) (The Wild Robot, 1)","Children's Robot Fiction Books, Children's Bear Books (Books), Children's Action & Adventure Books (Books)",288 pages,978-0316381994,"Little, Brown Books for Young Readers; First Edition (stated) (April 5, 2016)"
165,"Max Einstein: Rebels with a Cause (Max Einstein, 2)","Children's Asia Books, Children's Friendship Books, Children's Action & Adventure Books (Books)",320 pages,978-0316488167,"jimmy patterson (September 9, 2019)"
166,Alien Superstar (Book #1),"Children's Books on Prejudice & Racism, Children's Performing Arts Fiction, Children's Action & Adventure Books (Books)",264 pages,978-1419733697,"Harry N. Abrams (October 1, 2019)"
167,"Rick Riordan Presents: Fire Keeper, The-A Storm Runner Novel, Book 2","Children's LatAmerican Folk Tale Books, Children's Fantasy & Magic Books, Children's Action & Adventure Books (Books)",432 pages,978-1368041881,"Rick Riordan Presents (September 3, 2019)"
168,Charlie Thorne and the Last Equation ,"Children's Mystery, Detective, & Spy, Children's Humor, Children's Action & Adventure Books (Books)",400 pages,978-1534424760,"Simon & Schuster Books for Young Readers; Reprint edition (September 17, 2019)"
169,Tunnel of Bones (City of Ghosts) ,"Children's Spine-Chilling Horror, Children's Fantasy & Magic Books, Children's Action & Adventure Books (Books)",304 pages,978-1338111040,"Scholastic Press (September 3, 2019)"
170,My Life as an Ice Cream Sandwich ,"Children's Books on Prejudice & Racism, Children's Science Fiction Books (Books), Children's Family Life Books (Books)",256 pages,978-0399187353,"Dutton Books for Young Readers; Illustrated edition (August 27, 2019)"
171,PopularMMOs Presents Enter the Mine ,"Children's Fantasy Comics & Graphic Novels, Children's Action & Adventure Comics & Graphic Novels, 'Fantasy Manga (Books)'",208 pages,978-0062894281,"HarperAlley (June 4, 2019)"
172,Blended ,"Children's Books on Marriage & Divorce, Children's Books on Prejudice & Racism, Children's Books on Emotions & Feelings (Books)",320 pages,978-1442495005,"Atheneum/Caitlyn Dlouhy Books (October 30, 2018)"
173,Rick Riordan Presents: Aru Shah and the Song of Death-A Pandava Novel Book 2 (Pandava Series),"Children's Asian Literature, Children's Fantasy & Magic Books, Children's Action & Adventure Books (Books)",304 pages,978-1368013840,"Rick Riordan Presents (April 30, 2019)"
174,Ghost Boys ,"Children's 1900s American Historical Fiction, Children's Books on Prejudice & Racism, Children's Black & African American Story Books",224 pages,978-0316262286,"Little, Brown Books for Young Readers (April 17, 2018)"
175,Merci Suárez Changes Gears ,"Children's Hispanic & Latino Books, Children's School Issues, Children's Friendship Books",368 pages,978-0763690496,"Candlewick; First Edition (September 11, 2018)"
176,Minecraft: The Island: An Official Minecraft Novel ,"Children's Fantasy & Magic Books, Children's Action & Adventure Books (Books)",288 pages,978-0399181771,"Random House Worlds; Media tie-in edition (July 18, 2017)"
177,Endling #2: The First,"Children's Friendship Books, Children's Fantasy & Magic Books, Children's Action & Adventure Books (Books)",400 pages,978-0062335562,"HarperCollins; Illustrated edition (May 7, 2019)"
178,The Creature of the Pines (The Unicorn Rescue Society) ,"Children's Dragon, Unicorn & Mythical Stories, Children's Spine-Chilling Horror, Children's Fantasy & Magic Books",192 pages,978-0735231702,"Dutton Books for Young Readers; Illustrated edition (April 10, 2018)"
179,Batting Order ,"Children's Baseball Books (Books), Children's Friendship Books",304 pages,978-1534421554,"Simon & Schuster Books for Young Readers (May 28, 2019)"
180,Women in Science: 50 Fearless Pioneers Who Changed the World,"Teen & Young Adult Science & Technology Biographies', 'Teen & Young Adult Women Biographies', 'Scientific Reference'",128 pages,978-1607749769,"Ten Speed Press (July 26, 2016)"
181,Shouting at the Rain ,"Children's Fiction on Social Situations, Children's Parents Books, Children's Books on Emotions & Feelings (Books)",288 pages,978-0399175152,"Nancy Paulsen Books (May 7, 2019)"
182,"Rumple Buttercup: A Story of Bananas, Belonging, and Being Yourself ","Children's Self-Esteem Books, Children's Books on Emotions & Feelings (Books), Children's Humor",136 pages,978-0525648444,"Random House Books for Young Readers (April 2, 2019)"
183,Max and the Midknights (Max & The Midknights) ,"Children's Fantasy Comics & Graphic Novels, 'Fantasy Manga (Books)', Children's Fantasy & Magic Books",288 pages,978-1101931080,"Crown Books for Young Readers; First Edition (January 8, 2019)"
184,Warriors: The Broken Code #1: Lost Stars,"Children's Cat Books (Books), Children's Fantasy & Magic Books, Children's Action & Adventure Books (Books)",304 pages,978-0062823519,"HarperCollins (April 9, 2019)"
185,"Dog Diaries: A Middle School Story (Dog Diaries, 1)","Children's Dog Books (Books), Children's Friendship Books, Children's Action & Adventure Books (Books)",208 pages,978-0316487481,"jimmy patterson; Illustrated edition (December 3, 2018)"
186,"Wild Rescuers: Escape to the Mesa (Wild Rescuers, 2)","Children's Fox & Wolf Books (Books), Children's Fantasy & Magic Books, Children's Action & Adventure Books (Books)",224 pages,978-0062796400,"HarperCollins; Illustrated edition (April 9, 2019)"
187,It's Trevor Noah: Born a Crime: Stories from a South African Childhood (Adapted for Young Readers) ,"Children's Performing Arts Biographies (Books), 'Comedic Dramas & Plays', Children's Books on Prejudice & Racism",304 pages,978-0525582168,"Delacorte Press (April 9, 2019)"
188,Harbor Me ,"Children's Books on Disabilities, Children's Black & African American Story Books, Children's Family Life Books (Books)",192 pages,978-0399252525,"Nancy Paulsen Books; First Edition (August 28, 2018)"
189,"Rick Riordan Presents: Dragon Pearl-A Thousand Worlds Novel, Book 1","Children's Asian Literature, Children's Fantasy & Magic Books, Children's Action & Adventure Books (Books)",320 pages,978-1368013352,"Rick Riordan Presents; Illustrated edition (January 15, 2019)"
190,A Velocity of Being: Letters to A Young Reader ,"Children's Philosophy Books (Books), Children's Criticism & Collections, 'Children’s Books about Libraries & Reading'",272 pages,978-1592702282,"Enchanted Lion; First Edition (December 14, 2018)"
191,"Mac Undercover (Mac B., Kid Spy #1) (1)","Children's Mystery, Detective, & Spy, Children's Chapter Books (Books), Children's Action & Adventure Books (Books)",160 pages,978-1338143591,"Orchard Books (September 11, 2018)"
192,Ronan Boyle and the Bridge of Riddles (Ronan Boyle #1),"Children's Mystery, Detective, & Spy, Children's Fantasy & Magic Books, Children's Action & Adventure Books (Books)",304 pages,978-1419734915,"Harry N. Abrams; Illustrated edition (March 5, 2019)"
193,"The Confidence Code for Girls: Taking Risks, Messing Up, & Becoming Your Amazingly Imperfect, Totally Powerful Self ","Children's Books on Girls' & Women's Issues, Children's Self-Esteem Books, Children's Books on Emotions & Feelings (Books)",320 pages,978-0062796981,"HarperCollins; Illustrated edition (April 3, 2018)"
194,Minecraft: The Crash: An Official Minecraft Novel ,"Teen & Young Adult Mystery & Thriller Action & Adventure', 'Teen & Young Adult Fantasy & Supernatural Mysteries & Thrillers', 'Teen & Young Adult Thrillers & Suspense (Books)'",288 pages,978-0399180668,"Random House Worlds (July 10, 2018)"
195,The Crossover: A Newbery Award Winner (The Crossover Series) ,"Children's eBooks on Death, Grief & Bereavement, Children's Basketball Books (Kindle Store), Children's Siblings Books (Kindle Store)",245 pages,978-0399180668,"Clarion Books; Illustrated edition (March 18, 2014)"
196,Game of Stars (Kiranmala and the Kingdom Beyond) ,"Children's Asian & Asian American Books, Children's Fantasy & Magic Books, Children's Action & Adventure Books (Books)",384 pages,978-1338185737,"Scholastic Press (February 26, 2019)"
197,Louisiana's Way Home ,"Children's Books on Orphans & Foster Homes, Children's Multigenerational Family Life, Children's Friendship Books",240 pages,978-0763694630,"Candlewick (October 2, 2018)"
198,"The Impossible Crime (Mac B., Kid Spy #2) (2)","Children's Mystery, Detective, & Spy, Children's Chapter Books (Books), Children's Action & Adventure Books (Books)",160 pages,978-1338143683,"Orchard Books; Illustrated edition (December 26, 2018)"
199,Amal Unbound ,"Children's Middle East Books, Children's Family Life Books (Books)",240 pages,978-0399544682,"Nancy Paulsen Books (May 8, 2018)"
200,"Max Einstein: The Genius Experiment (Max Einstein, 1)","Children's Homelessness & Poverty Books (Books), Children's Friendship Books, Children's Action & Adventure Books (Books)",352 pages,978-0316523967,"jimmy patterson; Illustrated edition (October 8, 2018)"
201,The Girl Who Drank the Moon (Winner of the 2017 Newbery Medal),"Children's Multigenerational Family Life, Children's Fantasy & Magic Books, Children's Action & Adventure Books (Books)",400 pages,978-1616205676,"Algonquin Young Readers; First Edition (August 9, 2016)"
202,"Willa of the Wood (Willa of the Wood, Book 1) (Willa of the Wood, 1)","Children's Mystery, Detective, & Spy, Children's Fantasy & Magic Books, Children's Action & Adventure Books (Books)",384 pages,978-1368005845,"Disney-Hyperion; First Edition (July 10, 2018)"
203,"Wundersmith: The Calling of Morrigan Crow (Nevermoor, 2)","Children's Mystery, Detective, & Spy, Children's Fantasy & Magic Books, Children's Action & Adventure Books (Books)",544 pages,978-0316508919,"Little, Brown Books for Young Readers; Illustrated edition (November 13, 2018)"
204,Start Now!: You Can Make a Difference ,"Children's Books on Bullying, Children's Environment & Ecology Books (Books), Children's Books on Health",144 pages,978-0525514367,"Philomel Books (October 2, 2018)"
205,"The Magic Misfits: The Second Story (The Magic Misfits, 2)","Children's Friendship Books, Children's Fantasy & Magic Books, Children's Action & Adventure Books (Books)",336 pages,978-0316391856,"Little, Brown Books for Young Readers; Illustrated edition (September 25, 2018)"
206,Grenade ,"Children's Military Fiction (Books), Children's Action & Adventure Books (Books)",288 pages,978-1338245691,"Scholastic Press; First Edition (October 9, 2018)"
207,Rosie Revere and the Raucous Riveters: The Questioneers Book #1,"Children's Chapter Books (Books), Children's Friendship Books, Children's Humor",144 pages,978-1419733604,"Amulet Books (October 2, 2018)"
208,Squirm ,"Children's Recycling & Green Living Books, Children's Environment Books (Books), Children's Mystery, Detective, & Spy",288 pages,978-0385752978,"Knopf Books for Young Readers (September 25, 2018)"
209,Stories for Boys Who Dare to Be Different: True Tales of Amazing Boys Who Changed the World without Killing Dragons (The Dare to Be Different Series) ,"Children's Exploration Books, Children's Historical Biographies (Books), Children's Books on Boys' & Men's Issues",160 pages,978-0762465927,"Running Press Kids (September 25, 2018)"
210,"The Vanderbeekers and the Hidden Garden (The Vanderbeekers, 2)","Children's City Life Books, Children's Siblings Books (Books), Children's Friendship Books",336 pages,978-1328770028,"Clarion Books; First Edition (September 25, 2018)"
211,"Rick Riordan Presents: Storm Runner, The-A Storm Runner Novel, Book 1","Children's LatAmerican Folk Tale Books, Children's Fantasy & Magic Books, Children's Action & Adventure Books (Books)",448 pages,978-1368016346,"Rick Riordan Presents; Illustrated edition (September 18, 2018)"
212,PopularMMOs Presents A Hole New World ,"Children's Fantasy Comics & Graphic Novels, Children's Action & Adventure Comics & Graphic Novels, 'Fantasy Manga (Books)'",208 pages,978-0062790873,"HarperAlley (June 19, 2018)"
213,The Beloved World of Sonia Sotomayor ,"Children's Political Biographies (Books), Children's Women Biographies (Books), Children's Multicultural Biographies",352 pages,978-1524771140,"Delacorte Press (September 4, 2018)"
214,City of Ghosts ,"Children's Spine-Chilling Horror, Children's Fantasy & Magic Books, Children's Action & Adventure Books (Books)",304 pages,978-1338111002,"Scholastic Press; First Edition (August 28, 2018)"
215,Rebound (The Crossover Series) ,"Children's Basketball Books (Books), Children's Black & African American Story Books, 'Stories Verse'",416 pages,978-0544868137,"Clarion Books; Illustrated edition (April 2, 2018)"
216,"Hello, Universe: A Newbery Award Winner ","Children's Books on Bullying, Children's Self-Esteem Books, Children's Friendship Books",320 pages,978-0062414151,"Greenwillow Books; Later Printing edition (March 14, 2017)"
217,Endling #1: The Last,"Children's Friendship Books, Children's Fantasy & Magic Books, Children's Action & Adventure Books (Books)",400 pages,978-0062335524,"HarperCollins; First Edition (May 1, 2018)"
218,"Rick Riordan Presents: Aru Shah and the End of Time-A Pandava Novel, Book 1 (Pandava Series)","Children's Asian Literature, Children's Fantasy & Magic Books, Children's Action & Adventure Books (Books)",368 pages,978-1368012355,"Rick Riordan Presents (March 27, 2018)"
219,"Wild Rescuers: Guardians of the Taiga (book 1) (Wild Rescuers, 1)","Children's Fox & Wolf Books (Books), Children's Fantasy & Magic Books, Children's Action & Adventure Books (Books)",224 pages,978-0062796370,"HarperCollins; Illustrated edition (June 5, 2018)"
220,Calling All Minds: How To Think and Create Like an Inventor ,"Children's Physics Books (Books), Children's How Things Work Books (Books), Children's Books on Disabilities",240 pages,978-1524738204,"Philomel Books; Illustrated edition (May 15, 2018)"
221,You Go First ,"Children's Books on Bullying, Children's Parents Books, Children's Friendship Books",304 pages,978-0062414182,"Greenwillow Books; Second Printing. edition (April 10, 2018)"
222,"The Wild Robot Escapes (Volume 2) (The Wild Robot, 2)","Children's Duck Books (Books), Children's Robot Fiction Books, Children's Action & Adventure Books (Books)",288 pages,978-0316382045,"Little, Brown Books for Young Readers; Illustrated edition (March 13, 2018)"
223,"Trials of Apollo, The Book Two: Dark Prophecy, The-Trials of Apollo, The Book Two ","Children's Greek & Roman Books, Children's Fantasy & Magic Books, Children's Action & Adventure Books (Books)",432 pages,978-1484746424,"Disney Hyperion; First Edition (May 2, 2017)"
224,"Jacky Ha-Ha: My Life Is a Joke (Jacky Ha-Ha, 2)","Children's Performing Arts Fiction, Children's Parents Books, Children's Siblings Books (Books)",352 pages,978-0316433761,"jimmy patterson; Illustrated edition (October 30, 2017)"
225,Dragon Bones (2) (The Unwanteds Quests),"Children's Dragon, Unicorn & Mythical Stories, Children's Fantasy & Magic Books, Children's Action & Adventure Books (Books)",416 pages,978-1481456845,"Aladdin (February 6, 2018)"
226,"The Magic Misfits (The Magic Misfits, 1)","Children's Friendship Books, Children's Fantasy & Magic Books, Children's Action & Adventure Books (Books)",272 pages,978-0316391825,"Little, Brown Books for Young Readers; First Edition (November 21, 2017)"
227,Good Night Stories for Rebel Girls 2,"Children's Jobs & Careers Reference Books, Children's Women Biographies (Books), Children's Multicultural Story Books",224 pages,978-0997895827,"Rebel Girls; First Edition (November 20, 2017)"
228,"Nevermoor: The Trials of Morrigan Crow (Nevermoor, 1)","Children's Mystery, Detective, & Spy, Children's Fantasy & Magic Books, Children's Action & Adventure Books (Books)",480 pages,978-0316508889,"Little, Brown Books for Young Readers (October 31, 2017)"
229,The Purloining of Prince Oleomargarine ,"Children's Fantasy & Magic Books, Children's Action & Adventure Books (Books), Children's Animals Books",160 pages,978-0553523225,"Doubleday Books for Young Readers; Illustrated edition (September 26, 2017)"
230,Snow & Rose ,"Children's Books on Girls' & Women's Issues, Children's Fantasy & Magic Books, Children's Family Life Books (Books)",224 pages,978-0553538182,"Random House Books for Young Readers; Illustrated edition (October 10, 2017)"
231,Laugh Out Loud ,"Children’s Books about Libraries & Reading', Children's Superhero Fiction, Children's Classics",304 pages,978-0316431460,"jimmy patterson; Illustrated edition (August 28, 2017)"
232,The War I Finally Won ,"Children's European Historical Fiction (Books), Children's Books on Disabilities, Children's New Experiences Books",400 pages,978-0525429203,"Dial Books (October 3, 2017)"
233,JoJo's Guide to the Sweet Life: #PeaceOutHaterz ,"Teen & Young Adult Dance', 'Teen & Young Adult Performing Arts Biographies', 'Teen & Young Adult Nonfiction on Bullying (Books)'",240 pages,978-1419728174,"Amulet Books; Illustrated edition (October 3, 2017)"
234,"The Wizards of Once (The Wizards of Once, 1)","Children's Friendship Books, Children's Fantasy & Magic Books, Children's Action & Adventure Books (Books)",400 pages,978-0316508339,"Little, Brown Books for Young Readers; Illustrated edition (October 3, 2017)"
235,Pottymouth and Stoopid ,"Children's Books on Bullying, Children's Performing Arts Fiction, Children's Self-Esteem Books",336 pages,978-0316349635,"jimmy patterson; Illustrated edition (June 12, 2017)"
236,The Misadventures of Max Crumbly 2: Middle School Mayhem (2),"Children's School Issues, Children's Friendship Books, Children's Humor",240 pages,978-1481460033,"Aladdin; Illustrated edition (June 6, 2017)"
237,Patina (2) (Track),"Children's Track & Field Books, Children's Black & African American Story Books, Children's Friendship Books",240 pages,978-1481450188,"Atheneum/Caitlyn Dlouhy Books (August 29, 2017)"
238,Dog Man: A Graphic Novel (Dog Man #1): From the Creator of Captain Underpants,"Children's Mystery & Detective Comics & Graphic Novels, 'Children’s Action & Adventure Comics & Graphic Novels', Children's Superhero Books",240 pages,978-1481450188,"Graphix (August 30, 2016)"
239,The Friendship Code #1 (Girls Who Code),"Children's Computers & Technology Books, Children's Books on Girls' & Women's Issues, Children's Friendship Books",144 pages,978-0399542510,"Penguin Workshop (August 22, 2017)"
240,"The Trials of Apollo, Book 1: The Hidden Oracle","Children's Greek & Roman Books, Children's Fantasy & Magic Books, Children's Action & Adventure Books (Books)",384 pages,978-1484732748,"Disney Hyperion; First Edition (May 3, 2016)"
241,The Misadventures of Max Crumbly 1: Locker Hero (1),"Children's School Issues, Children's Humor, Children's Friendship Books",320 pages,978-1481460019,"Aladdin (June 7, 2016)"
242,Bravelands #1: Broken Pride,"Children's Ape & Monkey Books (Books), Children's Fantasy & Magic Books, Children's Action & Adventure Books (Books)",336 pages,978-0062642028,"HarperCollins; Illustrated edition (June 6, 2017)"
243,Ghost (1) (Track),"Children's Track & Field Books, Children's Black & African American Story Books, Children's Friendship Books",192 pages,978-1481450157,"Atheneum/Caitlyn Dlouhy Books; First Edition (August 30, 2016)"
244,Beauty and the Beast: Lost in a Book ,"Teen & Young Adult TV, Movie, Video Game Adaptations', 'Teen & Young Adult Fairy Tales & Folklore', 'Teen & Young Adult Sword & Sorcery Fantasy'",352 pages,978-1484780985,"Disney Press; Dlx Org edition (January 31, 2017)"
245,From Percy Jackson: Camp Half-Blood Confidential-An Official Rick Riordan Companion Book: Your Real Guide to the Demigod Training Camp (Trials of Apollo) ,"Children's Greek & Roman Books, Children's Fantasy & Magic Books, Children's Action & Adventure Books (Books)",192 pages,978-1484785553,"Disney Hyperion; Illustrated edition (May 2, 2017)"
246,Pax ,"Children's Fox & Wolf Books (Books), Children's Friendship Books, Children's Action & Adventure Books (Books)",288 pages,978-0062377012,"Balzer + Bray; First Edition (February 2, 2016)"
247,"The Unbreakable Code (The Book Scavenger series, 2)","Children’s Books about Libraries & Reading', Children's Mystery, Detective, & Spy, Children's Action & Adventure Books (Books)",368 pages,978-1627791168,"Henry Holt and Co. (BYR) (April 25, 2017)"
248,Jack and the Geniuses: At the Bottom of the World ,"Children's Siblings Books (Books), Children's Mystery, Detective, & Spy, Children's Action & Adventure Books (Books)",256 pages,978-1419723032,"Harry N. Abrams; Illustrated edition (April 4, 2017)"
249,Dragonwatch: A Fablehaven Adventure ,"Children's Dragon, Unicorn & Mythical Stories, Children's Fantasy & Magic Books, Children's Animals Books",384 pages,978-1629722566,"Shadow Mountain (March 14, 2017)"
250,Word of Mouse ,"Children's Books on Bullying, Children's Friendship Books, Children's Action & Adventure Books (Books)",304 pages,978-0316349567,"jimmy patterson; First Edition (December 12, 2016)"
251,Out of Wonder: Poems Celebrating Poets ,"Children's Literary Biographies (Books), Children's Composition & Creative Writing Books, Children's Poetry (Books)",56 pages,978-0763680947,"Candlewick; Illustrated edition (March 14, 2017)"
252,"Rad American Women A-Z: Rebels, Trailblazers, and Visionaries who Shaped Our History . . . and Our Future! (City Lights/Sister Spit) ","Children's Social Activists Biographies (Books), Children's Historical Biographies (Books), Children's Women Biographies (Books)",64 pages,978-0872866836,"City Lights Publishers; Illustrated edition (March 23, 2015)"
253,Baseball Genius: Baseball Genius 1 (Jeter Publishing),"Children's Baseball Books (Books), Children's Parents Books, Children's Mystery, Detective, & Spy",352 pages,978-1481468640,"Aladdin; First Edition (March 7, 2017)"
254,Survivors Club: The True Story of a Very Young Prisoner of Auschwitz ,"Teen & Young Adult Holocaust History', 'Teen & Young Adult Military History'",352 pages,978-0374305710,"Farrar, Straus and Giroux (BYR); Advanced Reading Copy (ARC) edition (March 7, 2017)"
255,Short ,"Children's Performing Arts Fiction, Children's New Experiences Books, Children's Self-Esteem Books",304 pages,978-0399186219,"Rocky Pond Books (January 31, 2017)"
256,"The Playbook: 52 Rules to Aim, Shoot, and Score in This Game Called Life","Children's Basketball Books (Books), Children's Books on Boys' & Men's Issues, Children's Black & African American Story Books",176 pages,978-0544570979,"Clarion Books (February 14, 2017)"
257,Dragon Captives (1) (The Unwanteds Quests),"Children's Dragon, Unicorn & Mythical Stories, Children's Fantasy & Magic Books, Children's Action & Adventure Books (Books)",432 pages,978-1481456814,"Aladdin (February 7, 2017)"
258,I Got This: To Gold and Beyond ,"Children's Gymnastics Books (Books), Children's Sports Biographies (Books), Children's Women Biographies (Books)",240 pages,978-0062677310,"HarperCollins; Har/Pstr edition (January 24, 2017)"
259,"Magnus Chase and the Gods of Asgard, Book 2: Hammer of Thor, The-Magnus Chase and the Gods of Asgard, Book 2","Children's Norse Literature, Children's Fantasy & Magic Books, Children's Action & Adventure Books (Books)",480 pages,978-1423160922,"Disney Hyperion; First Edition/First Printing (October 4, 2016)"
260,"Magnus Chase and the Gods of Asgard, Book 1: The Sword of Summer","Children's Norse Folk Tales, Children's Norse Literature, Children's eBooks (Kindle Store)",530 pages,978-1423160922,"Disney Hyperion; 1st edition (October 6, 2015)"
261,The Secret Keepers ,"Children's Mystery, Detective, & Spy, Children's Fantasy & Magic Books, Children's Action & Adventure Books (Books)",512 pages,978-0316389556,"Little, Brown Books for Young Readers; First Edition (September 27, 2016)"
262,"Return to the Isle of the Lost-A Descendants Novel, Book 2: A Descendants Novel (The Descendants)","Children's Folk Tales & Myths (Books), Children's Fantasy & Magic Books, Children's Action & Adventure Books (Books)",320 pages,978-1484750711,"Disney Hyperion; Complete Numbers Starting with 1, 1st Ed edition (May 24, 2016)"
263,The Best Bear in All the World (Winnie-the-Pooh) ,"Children's Short Story Collections, Children's Classics, Children's Animals Books",128 pages,978-0399187476,"Dutton Books for Young Readers; Illustrated edition (October 25, 2016)"
264,The Last Kids on Earth and the Zombie Parade ,"Horror Manga (Books)', Children's Spine-Chilling Horror, Children's Action & Adventure Books (Books)",320 pages,978-0670016624,"Viking Books for Young Readers; Illustrated edition (September 6, 2016)"
265,Frazzled: Everyday Disasters and Impending Doom ,"Children's Humorous Comics & Graphic Novels, Children's Self-Esteem Books, Children's School Issues",240 pages,978-0062398796,"HarperCollins; Illustrated edition (September 27, 2016)"
266,Some Writer!: The Story of E. B. White ,"Children's Literary Biographies (Books), 'Children’s Books about Libraries & Reading', Children's Composition & Creative Writing Books",176 pages,978-0544319592,"Clarion Books; Illustrated edition (October 4, 2016)"
267,When the Sea Turned to Silver (National Book Award Finalist) ,"Children's Dragon, Unicorn & Mythical Stories, Children's Fantasy & Magic Books, Children's Animals Books",384 pages,978-0316125925,"Little, Brown Books for Young Readers; Illustrated edition (October 4, 2016)"
268,Welcome to Wonderland #1: Home Sweet Motel,"Children's Humor, Children's Friendship Books, Children's Action & Adventure Books (Books)",304 pages,978-0553536027,"Random House Books for Young Readers (October 4, 2016)"
